cov1,cov2,cov3,cov4,cov5,cov6,cov7,cov8,cov9,cov10,cov11,cov12,cov13,cov14,cov15,cov16,cov17,cov18,cov19,cov20,Treated,outcome123
Bad,Bad,Bad,Bad,Bad,Bad,Bad,Good,Good,Good,Good,Bad,Good,Bad,Good,Bad,Good,Good,Good,1.0,0.0,132.7720900157898
Good,Bad,Good,Bad,Bad,Bad,Bad,Good,Bad,Bad,Bad,Good,Bad,Bad,Good,Bad,Bad,Bad,Bad,0.0,0.0,58.422905822675745
Bad,Bad,Bad,Bad,Good,Good,Good,Good,Good,Bad,Bad,Good,Good,Bad,Bad,Good,Bad,Bad,Good,0.0,0.0,176.03436649506213
Bad,Bad,Good,Good,Good,Good,Bad,Bad,Bad,Bad,Good,Bad,Bad,Bad,Good,Good,Good,Bad,Bad,0.0,0.0,91.56643929244736
Bad,Good,Bad,Bad,Bad,Bad,Good,Good,Good,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Good,Bad,0.0,1.0,135.14857616418277
Good,Bad,Good,Good,Bad,Bad,Good,Good,Good,Bad,Bad,Bad,Bad,Good,Bad,Bad,Good,Good,Good,0.0,0.0,158.84864881522253
Good,Good,Bad,Good,Good,Bad,Good,Good,Bad,Good,Good,Bad,Bad,Good,Bad,Bad,Good,Good,Bad,1.0,1.0,192.5836545724203
Bad,Bad,Good,Good,Bad,Good,Bad,Good,Bad,Good,Good,Bad,Bad,Good,Good,Good,Bad,Bad,Good,0.0,0.0,154.52030679245883
Bad,Good,Good,Good,Bad,Good,Good,Bad,Good,Bad,Good,Good,Good,Good,Good,Good,Bad,Bad,Bad,1.0,1.0,159.74312349109223
Good,Bad,Good,Bad,Bad,Good,Good,Bad,Bad,Good,Bad,Good,Bad,Bad,Good,Good,Good,Good,Bad,1.0,0.0,134.79547717817636
Good,Bad,Bad,Bad,Bad,Good,Good,Bad,Good,Bad,Good,Bad,Bad,Bad,Bad,Good,Good,Bad,Good,0.0,0.0,115.48931752076948
Bad,Good,Bad,Good,Good,Bad,Bad,Bad,Good,Good,Bad,Bad,Good,Good,Bad,Good,Good,Good,Bad,0.0,1.0,154.57912113819822
Good,Bad,Good,Bad,Bad,Good,Bad,Good,Good,Bad,Good,Good,Good,Good,Bad,Good,Bad,Good,Bad,1.0,1.0,138.23582674952274
Bad,Bad,Bad,Bad,Bad,Bad,Good,Good,Bad,Good,Good,Bad,Good,Good,Good,Bad,Good,Good,Bad,0.0,1.0,129.18849978195735
Bad,Bad,Good,Good,Good,Bad,Bad,Good,Good,Good,Good,Good,Bad,Good,Bad,Bad,Good,Good,Bad,1.0,1.0,200.1502648416065
Good,Bad,Good,Good,Good,Good,Good,Bad,Good,Bad,Good,Bad,Good,Good,Bad,Bad,Bad,Good,Good,1.0,0.0,176.23213925086705
Bad,Bad,Bad,Bad,Good,Good,Good,Bad,Good,Good,Bad,Bad,Good,Bad,Bad,Good,Good,Good,Bad,0.0,1.0,191.44072259828937
Bad,Good,Good,Good,Bad,Good,Bad,Good,Bad,Good,Good,Bad,Good,Bad,Bad,Good,Good,Good,Good,0.0,0.0,166.10065168446042
Bad,Bad,Good,Bad,Bad,Good,Good,Good,Good,Bad,Bad,Good,Bad,Bad,Good,Bad,Good,Bad,Good,1.0,0.0,163.9582982308135
Good,Bad,Good,Good,Bad,Good,Bad,Bad,Good,Bad,Good,Bad,Good,Bad,Bad,Bad,Good,Good,Good,0.0,1.0,120.97901195107607
Good,Good,Bad,Bad,Bad,Good,Bad,Bad,Good,Good,Bad,Bad,Bad,Bad,Good,Good,Good,Good,Good,0.0,1.0,143.9837947122138
Bad,Bad,Bad,Good,Bad,Bad,Bad,Good,Good,Bad,Good,Bad,Bad,Good,Bad,Good,Good,Good,Good,1.0,1.0,109.9905115008855
Bad,Good,Bad,Good,Bad,Good,Bad,Good,Good,Bad,Bad,Good,Bad,Bad,Good,Bad,Bad,Bad,Good,0.0,0.0,144.56665354333222
Bad,Good,Bad,Bad,Bad,Good,Bad,Bad,Bad,Bad,Bad,Good,Bad,Bad,Bad,Good,Good,Good,Bad,1.0,1.0,43.35743771520086
Bad,Bad,Bad,Good,Bad,Good,Bad,Good,Bad,Bad,Bad,Bad,Bad,Good,Good,Good,Bad,Good,Bad,0.0,0.0,90.61155542771016
Bad,Good,Good,Bad,Bad,Bad,Good,Good,Good,Bad,Bad,Bad,Bad,Bad,Good,Bad,Bad,Bad,Bad,1.0,1.0,149.73345081511587
Good,Bad,Bad,Good,Bad,Good,Good,Bad,Bad,Good,Good,Good,Bad,Good,Bad,Bad,Bad,Bad,Bad,0.0,1.0,143.98028472128243
Good,Good,Bad,Good,Bad,Good,Good,Good,Bad,Bad,Good,Bad,Good,Bad,Bad,Bad,Good,Bad,Good,0.0,1.0,144.58371973837436
Good,Good,Bad,Good,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Good,Bad,Bad,0.0,1.0,41.164219942211496
Bad,Bad,Good,Bad,Bad,Good,Bad,Bad,Bad,Good,Good,Good,Bad,Bad,Good,Bad,Bad,Bad,Bad,0.0,0.0,96.04832340311373
Bad,Bad,Good,Bad,Good,Bad,Good,Good,Good,Good,Good,Bad,Bad,Good,Bad,Bad,Good,Good,Bad,0.0,0.0,209.54100779358646
Bad,Good,Good,Good,Good,Good,Bad,Good,Good,Bad,Bad,Good,Bad,Good,Good,Good,Good,Good,Good,1.0,1.0,189.79367576336563
Good,Bad,Good,Bad,Good,Good,Bad,Bad,Bad,Good,Bad,Good,Bad,Bad,Good,Good,Good,Good,Bad,1.0,0.0,125.82147533906044
Good,Good,Bad,Bad,Good,Bad,Good,Bad,Good,Bad,Bad,Bad,Good,Good,Bad,Bad,Good,Good,Good,0.0,0.0,119.45378081931513
Bad,Good,Good,Good,Good,Good,Bad,Bad,Bad,Good,Bad,Good,Good,Good,Bad,Good,Good,Good,Good,1.0,0.0,150.63274709031032
Good,Bad,Bad,Bad,Good,Good,Bad,Good,Good,Bad,Bad,Good,Bad,Bad,Good,Bad,Bad,Bad,Good,0.0,0.0,145.03924539262184
Good,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Good,Bad,Good,Good,Bad,Bad,Bad,Good,Bad,Good,Bad,0.0,0.0,50.23320565679672
Bad,Good,Good,Bad,Bad,Bad,Good,Bad,Good,Good,Bad,Bad,Good,Good,Bad,Bad,Good,Bad,Bad,0.0,1.0,160.88757051437975
Good,Bad,Good,Bad,Good,Good,Good,Good,Bad,Good,Good,Bad,Good,Good,Good,Good,Bad,Bad,Good,1.0,1.0,203.2959409866969
Good,Bad,Good,Good,Good,Bad,Good,Bad,Good,Good,Bad,Bad,Good,Good,Bad,Bad,Bad,Good,Good,0.0,0.0,194.62177506458755
Good,Bad,Good,Bad,Bad,Good,Good,Bad,Good,Bad,Good,Good,Bad,Bad,Bad,Bad,Bad,Bad,Bad,0.0,1.0,133.89167889344378
Good,Bad,Good,Bad,Good,Bad,Good,Bad,Bad,Bad,Bad,Bad,Bad,Good,Good,Good,Bad,Bad,Good,0.0,1.0,85.21014307005099
Bad,Bad,Good,Good,Bad,Bad,Good,Good,Good,Bad,Bad,Bad,Good,Bad,Good,Good,Bad,Good,Good,1.0,0.0,154.00051543088233
Good,Bad,Bad,Bad,Bad,Good,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Good,Good,Bad,Good,Good,Good,0.0,0.0,33.25103167055191
Bad,Good,Good,Good,Good,Good,Bad,Good,Good,Bad,Good,Bad,Bad,Bad,Bad,Bad,Good,Good,Bad,1.0,1.0,188.77794547791592
Good,Good,Bad,Good,Good,Good,Good,Good,Bad,Bad,Good,Good,Good,Bad,Good,Bad,Good,Bad,Bad,0.0,1.0,170.63083260832138
Bad,Good,Good,Bad,Good,Bad,Bad,Bad,Good,Bad,Bad,Good,Bad,Good,Bad,Bad,Good,Good,Good,1.0,1.0,99.527732375187
Bad,Bad,Bad,Bad,Good,Good,Good,Good,Bad,Bad,Bad,Good,Good,Bad,Bad,Bad,Bad,Bad,Good,1.0,1.0,134.06768976811566
Good,Good,Good,Good,Bad,Bad,Bad,Good,Good,Good,Bad,Good,Bad,Good,Bad,Bad,Good,Good,Good,0.0,0.0,185.80221873569846
Bad,Good,Good,Good,Bad,Good,Bad,Bad,Bad,Good,Bad,Good,Good,Bad,Good,Bad,Bad,Good,Bad,1.0,0.0,123.59715329843641
Bad,Good,Good,Bad,Good,Good,Good,Bad,Bad,Good,Good,Good,Bad,Bad,Good,Bad,Good,Good,Good,0.0,1.0,169.86214702746537
Bad,Good,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Good,Good,Good,Good,Good,Good,Bad,Bad,Bad,0.0,0.0,10.222587777958244
Good,Good,Bad,Good,Bad,Good,Good,Good,Bad,Bad,Bad,Good,Bad,Good,Bad,Good,Good,Good,Good,0.0,0.0,137.66498238575633
Bad,Good,Bad,Good,Good,Bad,Bad,Good,Good,Good,Bad,Bad,Good,Bad,Good,Good,Bad,Bad,Bad,1.0,0.0,190.39202796249543
Good,Good,Good,Good,Bad,Bad,Bad,Good,Bad,Good,Bad,Good,Bad,Good,Bad,Bad,Good,Good,Bad,1.0,0.0,139.43699434993923
